"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 07 09:46:11 UTC 2026","Mon Sep 07 09:46:11 UTC 2026","24","","","","","","[PROD] TC_DELETE_002 - Delete booking without auth token",""
"passed","Mon Sep 07 09:48:06 UTC 2026","Mon Sep 07 09:48:07 UTC 2026","861","","","","","","[PROD] Positive: Complete checkout flow Rahul",""
"passed","Mon Sep 07 09:48:11 UTC 2026","Mon Sep 07 09:48:11 UTC 2026","876","","","","","","[PROD] Positive: Complete checkout flow Pooja",""
"passed","Mon Sep 07 09:47:07 UTC 2026","Mon Sep 07 09:47:09 UTC 2026","1693","","","","","","[PROD] Positive: Successful login with valid credentials visual_user",""
"passed","Mon Sep 07 09:46:20 UTC 2026","Mon Sep 07 09:46:20 UTC 2026","488","","","","","","[PROD] Positive: Successful login with valid credentials problem_user",""
"passed","Mon Sep 07 09:46:38 UTC 2026","Mon Sep 07 09:46:39 UTC 2026","711","","","","","","[PROD] Positive: Successful login with valid credentials standard_user",""
"passed","Mon Sep 07 09:46:11 UTC 2026","Mon Sep 07 09:46:11 UTC 2026","48","","","","","","[PROD] TC_CREATE_UPDATE_001 - Create and update booking successfully",""
"passed","Mon Sep 07 09:48:14 UTC 2026","Mon Sep 07 09:48:15 UTC 2026","805","","","","","","[PROD] Verify Open Invalid Product URL",""
"passed","Mon Sep 07 09:46:15 UTC 2026","Mon Sep 07 09:46:16 UTC 2026","579","","","","","","[PROD] Positive: Complete checkout flow Neha",""
"passed","Mon Sep 07 09:46:33 UTC 2026","Mon Sep 07 09:46:35 UTC 2026","1907","","","","","","[PROD] Positive: Complete checkout flow Karan",""
"passed","Mon Sep 07 09:46:11 UTC 2026","Mon Sep 07 09:46:12 UTC 2026","673","","","","","","[PROD] Positive: Complete checkout flow Nitin",""
"passed","Mon Sep 07 09:47:57 UTC 2026","Mon Sep 07 09:47:58 UTC 2026","795","","","","","","[PROD] Negative: Verify if first name is mandatory field and error message found",""
"passed","Mon Sep 07 09:46:51 UTC 2026","Mon Sep 07 09:46:53 UTC 2026","1879","","","","","","[PROD] Positive: Complete checkout flow Arjun",""
"passed","Mon Sep 07 09:46:30 UTC 2026","Mon Sep 07 09:46:31 UTC 2026","904","","","","","","[PROD] Positive: Complete checkout flow Neha",""
"passed","Mon Sep 07 09:47:01 UTC 2026","Mon Sep 07 09:47:03 UTC 2026","1684","","","","","","[PROD] Verify Successfully add product to cart @smoke",""
"passed","Mon Sep 07 09:46:17 UTC 2026","Mon Sep 07 09:46:18 UTC 2026","556","","","","","","[PROD] Positive: Complete checkout flow Karan",""
"passed","Mon Sep 07 09:48:00 UTC 2026","Mon Sep 07 09:48:01 UTC 2026","657","","","","","","[PROD] Positive: Successful login with valid credentials problem_user",""
"passed","Mon Sep 07 09:46:47 UTC 2026","Mon Sep 07 09:46:49 UTC 2026","1575","","","","","","[PROD] Positive: Complete checkout flow Rahul",""
"passed","Mon Sep 07 09:47:53 UTC 2026","Mon Sep 07 09:47:54 UTC 2026","774","","","","","","[PROD] Positive: Complete checkout flow Arjun",""
"passed","Mon Sep 07 09:48:16 UTC 2026","Mon Sep 07 09:48:17 UTC 2026","778","","","","","","[PROD] Positive: Successful login with valid credentials visual_user",""
"passed","Mon Sep 07 09:47:50 UTC 2026","Mon Sep 07 09:47:51 UTC 2026","854","","","","","","[PROD] Positive: Complete checkout flow Amit",""
"passed","Mon Sep 07 09:46:16 UTC 2026","Mon Sep 07 09:46:16 UTC 2026","541","","","","","","[PROD] Positive: Complete checkout flow Vikram",""
"passed","Mon Sep 07 09:46:20 UTC 2026","Mon Sep 07 09:46:21 UTC 2026","509","","","","","","[PROD] Positive: Successful login with valid credentials visual_user",""
"passed","Mon Sep 07 09:46:49 UTC 2026","Mon Sep 07 09:46:51 UTC 2026","1972","","","","","","[PROD] Positive: Complete checkout flow Sneha",""
"passed","Mon Sep 07 09:46:19 UTC 2026","Mon Sep 07 09:46:19 UTC 2026","517","","","","","","[PROD] Verify Open Invalid Product URL",""
"passed","Mon Sep 07 09:48:17 UTC 2026","Mon Sep 07 09:48:18 UTC 2026","615","","","","","","[PROD] Negative: Login failure with invalid credentials",""
"passed","Mon Sep 07 09:47:00 UTC 2026","Mon Sep 07 09:47:01 UTC 2026","1548","","","","","","[PROD] Negative: Verify if first name is mandatory field and error message found",""
"passed","Mon Sep 07 09:46:56 UTC 2026","Mon Sep 07 09:46:58 UTC 2026","1828","","","","","","[PROD] Positive: Complete checkout flow Pooja",""
"passed","Mon Sep 07 09:48:01 UTC 2026","Mon Sep 07 09:48:02 UTC 2026","676","","","","","","[PROD] Positive: Successful login with valid credentials visual_user",""
