"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 06:07:06 UTC 2026","Wed Aug 12 06:07:07 UTC 2026","1639","","","","","","[STAGE] Positive: Complete checkout flow Amit",""
"passed","Wed Aug 12 06:08:26 UTC 2026","Wed Aug 12 06:08:27 UTC 2026","684","","","","","","[STAGE] Positive: Complete checkout flow Vikram",""
"passed","Wed Aug 12 06:06:59 UTC 2026","Wed Aug 12 06:07:00 UTC 2026","715","","","","","","[STAGE] Positive: Successful login with valid credentials standard_user",""
"passed","Wed Aug 12 06:07:28 UTC 2026","Wed Aug 12 06:07:40 UTC 2026","12074","","","","","","[STAGE] Positive: Complete checkout flow Nitin",""
"passed","Wed Aug 12 06:08:10 UTC 2026","Wed Aug 12 06:08:10 UTC 2026","718","","","","","","[STAGE] Positive: Successful login with valid credentials standard_user",""
"passed","Wed Aug 12 06:06:54 UTC 2026","Wed Aug 12 06:06:56 UTC 2026","2015","","","","","","[STAGE] Positive: Complete checkout flow Karan",""
"passed","Wed Aug 12 06:06:39 UTC 2026","Wed Aug 12 06:06:39 UTC 2026","571","","","","","","[STAGE] Verify Successfully add product to cart @smoke",""
"passed","Wed Aug 12 06:06:36 UTC 2026","Wed Aug 12 06:06:37 UTC 2026","566","","","","","","[STAGE] Positive: Complete checkout flow Vikram",""
"passed","Wed Aug 12 06:06:36 UTC 2026","Wed Aug 12 06:06:36 UTC 2026","578","","","","","","[STAGE] Positive: Complete checkout flow Neha",""
"passed","Wed Aug 12 06:06:50 UTC 2026","Wed Aug 12 06:06:51 UTC 2026","951","","","","","","[STAGE] Positive: Complete checkout flow Arjun",""
"passed","Wed Aug 12 06:07:03 UTC 2026","Wed Aug 12 06:07:05 UTC 2026","2156","","","","","","[STAGE] Positive: Complete checkout flow Nitin",""
"passed","Wed Aug 12 06:08:02 UTC 2026","Wed Aug 12 06:08:02 UTC 2026","795","","","","","","[STAGE] Positive: Complete checkout flow Rahul",""
"passed","Wed Aug 12 06:06:37 UTC 2026","Wed Aug 12 06:06:38 UTC 2026","587","","","","","","[STAGE] Positive: Complete checkout flow Karan",""
"passed","Wed Aug 12 06:08:22 UTC 2026","Wed Aug 12 06:08:23 UTC 2026","713","","","","","","[STAGE] Positive: Complete checkout flow Priya",""
"passed","Wed Aug 12 06:08:12 UTC 2026","Wed Aug 12 06:08:12 UTC 2026","523","","","","","","[STAGE] Negative: Login failure with invalid credentials",""
"passed","Wed Aug 12 06:08:21 UTC 2026","Wed Aug 12 06:08:22 UTC 2026","770","","","","","","[STAGE] Positive: Complete checkout flow Amit",""
"passed","Wed Aug 12 06:08:27 UTC 2026","Wed Aug 12 06:08:28 UTC 2026","687","","","","","","[STAGE] Positive: Complete checkout flow Karan",""
"passed","Wed Aug 12 06:08:07 UTC 2026","Wed Aug 12 06:08:08 UTC 2026","772","","","","","","[STAGE] Negative: Verify if first name is mandatory field and error message found",""
"passed","Wed Aug 12 06:07:10 UTC 2026","Wed Aug 12 06:07:12 UTC 2026","1557","","","","","","[STAGE] Positive: Complete checkout flow Sneha",""
"passed","Wed Aug 12 06:06:38 UTC 2026","Wed Aug 12 06:06:39 UTC 2026","544","","","","","","[STAGE] Negative: Verify if first name is mandatory field and error message found",""
"passed","Wed Aug 12 06:08:32 UTC 2026","Wed Aug 12 06:08:32 UTC 2026","479","","","","","","[STAGE] Negative: Login failure with invalid credentials",""
"passed","Wed Aug 12 06:07:13 UTC 2026","Wed Aug 12 06:07:15 UTC 2026","1470","","","","","","[STAGE] Positive: Complete checkout flow Neha",""
"passed","Wed Aug 12 06:06:40 UTC 2026","Wed Aug 12 06:06:41 UTC 2026","531","","","","","","[STAGE] Positive: Successful login with valid credentials problem_user",""
"passed","Wed Aug 12 06:07:16 UTC 2026","Wed Aug 12 06:07:18 UTC 2026","1545","","","","","","[STAGE] Positive: Complete checkout flow Pooja",""
"passed","Wed Aug 12 06:08:25 UTC 2026","Wed Aug 12 06:08:26 UTC 2026","681","","","","","","[STAGE] Positive: Complete checkout flow Neha",""
"passed","Wed Aug 12 06:08:09 UTC 2026","Wed Aug 12 06:08:10 UTC 2026","756","","","","","","[STAGE] Verify Open Invalid Product URL",""
"passed","Wed Aug 12 06:08:31 UTC 2026","Wed Aug 12 06:08:32 UTC 2026","589","","","","","","[STAGE] Positive: Successful login with valid credentials visual_user",""
"passed","Wed Aug 12 06:08:10 UTC 2026","Wed Aug 12 06:08:11 UTC 2026","644","","","","","","[STAGE] Positive: Successful login with valid credentials problem_user",""
"passed","Wed Aug 12 06:08:03 UTC 2026","Wed Aug 12 06:08:04 UTC 2026","796","","","","","","[STAGE] Positive: Complete checkout flow Arjun",""
"passed","Wed Aug 12 06:07:09 UTC 2026","Wed Aug 12 06:07:10 UTC 2026","1478","","","","","","[STAGE] Positive: Complete checkout flow Rahul",""
"passed","Wed Aug 12 06:07:15 UTC 2026","Wed Aug 12 06:07:16 UTC 2026","1513","","","","","","[STAGE] Positive: Complete checkout flow Vikram",""
"passed","Wed Aug 12 06:06:37 UTC 2026","Wed Aug 12 06:06:37 UTC 2026","582","","","","","","[STAGE] Positive: Complete checkout flow Pooja",""
"passed","Wed Aug 12 06:08:11 UTC 2026","Wed Aug 12 06:08:12 UTC 2026","699","","","","","","[STAGE] Positive: Successful login with valid credentials visual_user",""
"passed","Wed Aug 12 06:08:08 UTC 2026","Wed Aug 12 06:08:09 UTC 2026","675","","","","","","[STAGE] Verify Successfully add product to cart @smoke",""
"passed","Wed Aug 12 06:08:29 UTC 2026","Wed Aug 12 06:08:29 UTC 2026","680","","","","","","[STAGE] Verify Successfully add product to cart @smoke",""
"passed","Wed Aug 12 06:07:20 UTC 2026","Wed Aug 12 06:07:21 UTC 2026","1378","","","","","","[STAGE] Negative: Verify if first name is mandatory field and error message found",""
"passed","Wed Aug 12 06:07:22 UTC 2026","Wed Aug 12 06:07:23 UTC 2026","1197","","","","","","[STAGE] Verify Open Invalid Product URL",""
"passed","Wed Aug 12 06:06:49 UTC 2026","Wed Aug 12 06:06:50 UTC 2026","999","","","","","","[STAGE] Positive: Complete checkout flow Sneha",""
"passed","Wed Aug 12 06:08:30 UTC 2026","Wed Aug 12 06:08:31 UTC 2026","609","","","","","","[STAGE] Positive: Successful login with valid credentials standard_user",""
